timestamp;motion;voltage;illuminace
2021-10-23T12:08:31.055733;235;7.33;513.17
2021-10-23T12:08:31.055810;235;7.33;513.17
2021-10-23T12:08:31.055879;235;7.33;514.73
2021-10-23T12:08:31.055943;235;7.33;514.73
2021-10-23T12:08:31.056011;235;7.33;514.73
2021-10-23T12:08:31.056078;235;7.33;514.73
2021-10-23T12:08:31.056141;235;7.33;514.73
2021-10-23T12:08:31.056205;147;7.33;514.73
2021-10-23T12:08:31.056268;147;7.33;514.73
2021-10-23T12:08:31.056336;147;7.33;514.73
2021-10-23T12:08:31.056403;147;7.33;514.73
2021-10-23T12:08:31.056466;726;7.33;514.73
2021-10-23T12:08:31.056530;726;7.33;514.73
2021-10-23T12:08:31.219621;726;7.36;514.73
2021-10-23T12:08:31.239755;726;7.36;514.73
2021-10-23T12:08:31.406113;726;7.36;514.73
2021-10-23T12:08:31.459277;726;7.36;514.73
2021-10-23T12:08:32.106772;726;7.36;514.73
2021-10-23T12:08:32.176321;726;7.36;514.73
2021-10-23T12:08:33.180734;726;7.36;514.73
2021-10-23T12:08:33.196272;726;7.36;513.95
2021-10-23T12:08:33.244805;726;7.36;513.95
2021-10-23T12:08:33.273107;1291;7.36;513.95
2021-10-23T12:08:33.286050;1291;7.36;513.95
2021-10-23T12:08:33.314484;1291;7.36;513.95
2021-10-23T12:08:33.366514;1291;7.73;513.95
2021-10-23T12:08:33.406432;1291;7.73;513.95
2021-10-23T12:08:34.147326;1291;7.73;513.95
2021-10-23T12:08:34.180267;1291;7.73;513.95
2021-10-23T12:08:34.232142;1291;7.73;510.43
2021-10-23T12:08:34.256923;983;7.73;510.43
2021-10-23T12:08:34.265818;983;7.73;510.43
2021-10-23T12:08:34.304406;983;7.73;510.43
2021-10-23T12:08:35.307594;983;7.9;510.43
2021-10-23T12:08:35.363333;983;7.9;510.43
2021-10-23T12:08:35.461242;983;7.9;510.43
2021-10-23T12:08:35.468605;983;7.9;510.43
2021-10-23T12:08:35.486265;983;7.9;500.29
2021-10-23T12:08:35.499941;983;7.9;500.29
2021-10-23T12:08:35.574482;709;7.9;500.29
2021-10-23T12:08:35.582802;709;7.9;500.29
2021-10-23T12:08:35.880577;709;7.9;500.29
2021-10-23T12:08:35.938957;709;7.9;500.29
2021-10-23T12:08:37.242459;709;7.9;500.29
2021-10-23T12:08:37.285902;709;7.39;500.29
2021-10-23T12:08:37.297312;709;7.39;500.29
2021-10-23T12:08:37.367254;709;7.39;500.29
2021-10-23T12:08:37.410437;709;7.39;515.12
2021-10-23T12:08:37.480599;833;7.39;515.12
2021-10-23T12:08:37.530387;833;7.39;515.12
2021-10-23T12:08:37.565630;833;7.39;515.12
2021-10-23T12:08:38.085688;833;7.39;515.12
2021-10-23T12:08:38.108041;833;7.39;515.12
2021-10-23T12:08:38.774373;833;7.53;515.12
2021-10-23T12:08:38.806978;833;7.53;515.12
2021-10-23T12:08:39.029493;833;7.53;515.12
2021-10-23T12:08:39.055049;833;7.53;515.12
2021-10-23T12:08:39.064539;833;7.53;517.07
2021-10-23T12:08:39.072010;833;7.53;517.07
2021-10-23T12:08:39.095351;833;7.53;517.07
2021-10-23T12:08:39.097273;833;7.53;517.07
2021-10-23T12:08:39.158460;578;7.53;517.07
2021-10-23T12:08:39.176662;578;7.53;517.07
2021-10-23T12:08:40.916731;578;7.62;517.07
2021-10-23T12:08:40.962048;578;7.62;517.07
2021-10-23T12:08:41.069611;578;7.62;517.07
2021-10-23T12:08:41.085656;578;7.62;518.24
2021-10-23T12:08:41.103075;578;7.62;518.24
2021-10-23T12:08:41.110332;349;7.62;518.24
2021-10-23T12:08:41.142885;349;7.62;518.24
2021-10-23T12:08:41.188518;349;7.62;518.24
2021-10-23T12:08:41.194923;349;7.62;518.24
2021-10-23T12:08:41.198741;349;7.62;518.24
2021-10-23T12:08:41.596711;349;7.62;518.24
2021-10-23T12:08:41.604612;349;7.62;518.24
2021-10-23T12:08:42.437415;349;7.19;518.24
2021-10-23T12:08:42.474450;349;7.19;518.24
2021-10-23T12:08:43.224166;349;7.19;518.24
2021-10-23T12:08:43.255205;349;7.19;518.24
2021-10-23T12:08:43.386704;349;7.19;517.46
2021-10-23T12:08:43.391514;189;7.19;517.46
2021-10-23T12:08:43.464202;189;7.19;517.46
2021-10-23T12:08:43.473994;189;7.19;517.46
2021-10-23T12:08:44.594453;189;7.34;517.46
2021-10-23T12:08:44.670008;189;7.34;517.46
2021-10-23T12:08:45.063889;189;7.34;517.46
2021-10-23T12:08:45.223277;189;7.34;517.46
2021-10-23T12:08:45.445051;189;7.34;517.46
2021-10-23T12:08:45.455362;189;7.34;112.64
2021-10-23T12:08:45.466821;189;7.34;112.64
2021-10-23T12:08:45.511118;189;7.34;112.64
2021-10-23T12:08:45.520657;109;7.34;112.64
2021-10-23T12:08:45.521832;109;7.34;112.64
2021-10-23T12:08:45.530827;109;7.34;112.64
2021-10-23T12:08:45.565459;109;7.34;112.64
2021-10-23T12:08:46.167158;109;7.55;112.64
2021-10-23T12:08:46.288837;109;7.55;112.64
2021-10-23T12:08:46.323195;109;7.55;112.64
2021-10-23T12:08:46.329949;109;7.55;516.29
2021-10-23T12:08:46.378704;95;7.55;516.29
2021-10-23T12:08:46.427666;95;7.55;516.29
2021-10-23T12:08:46.432254;95;7.55;516.29
2021-10-23T12:08:46.443352;95;7.55;516.29
2021-10-23T12:08:46.842354;95;7.55;516.29
2021-10-23T12:08:46.884663;95;7.55;516.29
2021-10-23T12:08:48.116894;95;7.55;516.29
2021-10-23T12:08:48.124471;95;7.55;516.29
2021-10-23T12:08:48.164371;95;7.55;516.29
2021-10-23T12:08:48.197133;95;7.55;516.29
2021-10-23T12:08:48.220630;95;7.44;516.29
2021-10-23T12:08:48.263576;95;7.44;516.29
2021-10-23T12:08:48.385536;95;7.44;516.29
2021-10-23T12:08:48.411367;95;7.44;518.63
2021-10-23T12:08:48.452662;95;7.44;518.63
2021-10-23T12:08:48.468024;95;7.44;518.63
2021-10-23T12:08:48.484002;95;7.44;518.63
2021-10-23T12:08:48.489775;95;7.44;518.63
2021-10-23T12:08:48.496531;246;7.44;518.63
2021-10-23T12:08:48.542060;246;7.44;518.63
2021-10-23T12:08:49.481440;246;7.44;518.63
2021-10-23T12:08:49.501076;246;7.44;518.63
2021-10-23T12:08:49.769865;246;7.32;518.63
2021-10-23T12:08:49.785061;246;7.32;518.63
2021-10-23T12:08:49.935465;246;7.32;518.63
2021-10-23T12:08:49.939509;246;7.32;518.63
2021-10-23T12:08:49.998898;246;7.32;517.85
2021-10-23T12:08:50.015651;246;7.32;517.85
2021-10-23T12:08:50.065289;246;7.32;517.85
2021-10-23T12:08:50.085532;246;7.32;517.85
2021-10-23T12:08:50.102731;251;7.32;517.85
2021-10-23T12:08:50.165038;251;7.32;517.85
2021-10-23T12:08:51.232690;251;7.32;517.85
2021-10-23T12:08:51.246624;251;7.32;517.85
2021-10-23T12:08:51.264977;251;7.32;518.63
2021-10-23T12:08:51.274130;251;7.32;518.63
2021-10-23T12:08:51.345147;181;7.32;518.63
2021-10-23T12:08:51.352008;181;7.32;518.63
2021-10-23T12:08:51.734504;181;8.25;518.63
2021-10-23T12:08:51.760954;181;8.25;518.63
2021-10-23T12:08:52.368850;181;8.25;518.63
2021-10-23T12:08:52.380521;181;8.25;518.63
2021-10-23T12:08:52.856196;181;8.25;518.63
2021-10-23T12:08:52.871329;181;8.25;518.63
2021-10-23T12:08:52.882422;181;8.25;518.63
