[2021-10-23T12:08:39.158460] data: motion: 578, sound: 62.41, illuminace: 517.07, temperature: 25.43
[2021-10-23T12:08:39.176662] data: motion: 578, sound: 62.41, illuminace: 517.07, temperature: 25.43
[2021-10-23T12:08:40.916731] data: motion: 578, sound: 62.41, illuminace: 517.07, temperature: 25.43
[2021-10-23T12:08:40.962048] data: motion: 578, sound: 62.41, illuminace: 517.07, temperature: 25.43
[2021-10-23T12:08:41.069611] data: motion: 578, sound: 60.52, illuminace: 517.07, temperature: 25.43
[2021-10-23T12:08:41.085656] data: motion: 578, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.103075] data: motion: 578, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.110332] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.142885] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.188518] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.194923] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.198741] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.596711] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:41.604612] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:42.437415] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:42.474450] data: motion: 349, sound: 60.52, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:43.224166] data: motion: 349, sound: 59.64, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:43.255205] data: motion: 349, sound: 59.64, illuminace: 518.24, temperature: 25.43
[2021-10-23T12:08:43.386704] data: motion: 349, sound: 59.64, illuminace: 517.46, temperature: 25.43
[2021-10-23T12:08:43.391514] data: motion: 189, sound: 59.64, illuminace: 517.46, temperature: 25.43
